company,SUM(total_laid_off)
Byju's,4000
Swiggy,2880
Ola,2800
"WhiteHat Jr",2100
Bytedance,1800
PaisaBazaar,1500
Unacademy,1500
OYO,1200
Vedantu,1109
Curefit,920
ShareChat,701
MakeMyTrip,700
Meesho,650
Zomato,620
Cars24,600
MFine,600
Uber,600
Udaan,530
Lendingkart,500
Paytm,500
Bounce,490
Livspace,450
Sea,350
Toppr,350
FarEye,340
"SAP Labs",300
Trell,300
FrontRow,275
BookMyShow,270
Magicbricks,250
"OLX India",250
TravelTriangle,250
Rupeek,230
BlackBuck,200
CarDekho,200
Fareportal,200
Hirect,200
MediBuddy,200
MyGate,200
Ninjacart,200
Shop101,200
CityMall,191
Clear,190
Furlenco,180
Crejo.Fun,170
Fraazo,150
HealthifyMe,150
Lido,150
"VerSe Innovation",150
Exotel,142
Bizongo,140
LEAD,140
Yojak,140
"Captain Fresh ",120
UpGrad,120
Skit.ai,115
"Bright Money",100
"Cashfree Payments",100
DealShare,100
"Mobile Premier League",100
Polygon,100
Udayy,100
WeWork,100
Aqgromalin,80
CoinDCX,80
FabHotels,80
Pagarbook,80
Gramophone,75
PickYourTrail,70
CleverTap,60
Harappa,60
WazirX,60
Breathe,50
Inmobi,50
"Pocket Aces",50
Acko,45
Teachmint,45
BharatAgri,40
Daloopa,40
Eruditus,40
Koo,40
Navi,40
"Oye Rickshaw",40
PaySense,40
PharmEasy,40
Relevel,40
Shuttl,40
"TikTok India",40
Plum,36
Fittr,30
OKCredit,30
Synapsica,30
HighRadius,25
UpScalio,25
Dukaan,23
Instamojo,6
"Camp K12",NULL
DeHaat,NULL
Dunzo,NULL
"DUX Education",NULL
GoMechanic,NULL
GoNuts,NULL
"Lido Learning",NULL
"Nova Benefits",NULL
PhableCare,NULL
Qin1,NULL
"Rebel Foods",NULL
ShopX,NULL
SuperLearn,NULL
WeTrade,NULL
